PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
B	Pargfrieder, J; Jorgl, HP			IEEE; IEEE	Pargfrieder, J; Jorgl, HP			An integrated control system for optimizing the energy consumption and user comfort in buildings	2002 IEEE INTERNATIONAL SYMPOSIUM ON COMPUTER AIDED CONTROL SYSTEM DESIGN PROCEEDINGS			English	Proceedings Paper	IEEE International Symposium on Computer Aided Control System Design (CACSD 2002)	SEP 18-20, 2002	GLASGOW, SCOTLAND	IEEE Control Syst Soc		fuzzy control; HVAC control; Genetic Algorithms; predictive control		In this paper a HVAC system consisting of the thermal and ventilation subsystem and the lighting subsystem is analyzed in detail. The objective of this work is the development of an integrated control system, whose aim is to optimize the energy consumption and the user comfort. The focus of the first part of this work is on the analysis of the different subsystems. The entire control system is described in detail. The cross coupling, which links the thermal system with the lighting system, is specified. This allows a separation of the control algorithms according to the requirements. The core objective of this paper is the design of several intelligent thermal control algorithms. An algorithm using a Fuzzy controller and an adapting power profile, a controller which uses the same algorithm as mentioned before but which optimizes the Fuzzy controller parameters using Genetic Algorithms and a generalized predictive controller (GPC) are presented. Different aspects of the control strategies, the diverse specifications of the algorithms and any restrictions concerning the implementation are listed. Last but not least simulation results of different controllers are presented and discussed.	Inst Machine & Proc Automat, A-1040 Vienna, Austria	Pargfrieder, J (reprint author), Inst Machine & Proc Automat, Gusshausstr 27-29-328, A-1040 Vienna, Austria.						CLARKE DW, 1987, AUTOMATICA, V23, P137, DOI 10.1016/0005-1098(87)90087-2; *EDIFICIO, 4 FWP JOULE 3 PROGR; Fanger P.O., 1984, 7730 ISO; JORGL HP, 1996, IDENTIFICATION ADAPT; Ljung L., 1987, SYSTEM IDENTIFICATIO; Mitchell M., 1998, INTRO GENETIC ALGORI	6	10	10	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-7388-X				2002							127	132					6	Automation & Control Systems; Engineering, Electrical & Electronic	Automation & Control Systems; Engineering	BV36T	WOS:000178711800024					2020-01-29	
B	Zhang, Y; Fromherz, MP; Crawford, LS; Shang, Y			IEEE; IEEE	Zhang, Y; Fromherz, MP; Crawford, LS; Shang, Y			A general constraint-based control framework with examples in modular self-reconfigurable robots	2002 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS, VOLS 1-3, PROCEEDINGS			English	Proceedings Paper	IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2002)	SEP 30-OCT 04, 2002	LAUSANNE, SWITZERLAND	IEEE Robot & Automat Soc, IEEE Ind Electr Soc, Robot Soc Japan, Soc Instruments & Control Engineers, INRIA Rhone Alpes Grenoble, EPFL Lausanne				In this paper, we advocate a general constraint-based control framework that is highly promising for building control systems with complex dynamic structures, such as modular self-reconfigurable robots. In this framework, a controller consists of constraint solving components distributed in a network of embedded processors. Constraint solvers are goal oriented deliberative agents that can be used as control regulators or as information retrievers. The framework is built on the Attribute/Service Model (ASM), a middleware for coordinating actuators, sensors and tasks in distributed real-time embedded systems. The communications and coordination among the services are realized via shared attributes. Examples of controlling a modular self-reconfigurable robot are illustrated in the paper.	Palo Alto Res Ctr, Palo Alto, CA 94304 USA	Zhang, Y (reprint author), Palo Alto Res Ctr, 3333 Coyote Hill Rd, Palo Alto, CA 94304 USA.	yzhang@parc.com; fromherz@parc.com; lcrawford@parc.com; yshang@parc.com					Albus J. S., 2000, Proceedings 2000 ICRA. Millennium Conference. IEEE International Conference on Robotics and Automation. Symposia Proceedings (Cat. No.00CH37065), P3260, DOI 10.1109/ROBOT.2000.845165; BEMPORAD A, 2000, P AM CONTR C CHIC IL; CHEN CH, 1998, IEEE ROBOTICS AU JUN; Coste-Maniere E., 2000, Proceedings 2000 ICRA. Millennium Conference. IEEE International Conference on Robotics and Automation. Symposia Proceedings (Cat. No.00CH37065), P67, DOI 10.1109/ROBOT.2000.844041; FROMHERZ M, 2002, AIAA SPRING S INT DI; Fromherz MPJ, 2000, IC-AI'2000: PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE, VOL 1-III, P1141; Kotay K, 1998, IEEE INT CONF ROBOT, P424, DOI 10.1109/ROBOT.1998.676452; LAVRETSKY E, 2000, P AM CONTR C CHIC IL; MCISAAC KA, 1999, P IEEE INT C ROB AUT; Murata S, 1998, IEEE INT CONF ROBOT, P432, DOI 10.1109/ROBOT.1998.677012; Pamecha A., 1996, P 1996 ASME DES ENG; ROUFAS K, 2001, EXPT ROBOTICS, V8, P91; UNSAL C, P SPIE SENS FUS DEC, V4196; Weiss G., 1999, MULTIAGENT SYSTEMS M; Will P, 1999, PROC SPIE, V3839, P236, DOI 10.1117/12.360344; YIM M, 1994, IEEE INT CONF ROBOT, P2508, DOI 10.1109/ROBOT.1994.351134; Yim M., 2000, P IEEE INT C ROB AUT; Zhang Y, 1995, LECT NOTES COMPUT SC, V999, P552; ZHANG Y, 2002, AAAI SPRING S INT DI; ZHANG Y, 2001, IEEE RSJ INT C INT R; ZHANG Y, 1994, THESIS U BRIT COLUMB; ZHANG Y, 1982, UNPUB WORKSH EMB SYS; ZHANG Y, 1982, 8 INT S EXP ROB JUL	23	2	2	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-7398-7				2002							2163	2168					6	Automation & Control Systems; Computer Science, Artificial Intelligence; Robotics	Automation & Control Systems; Computer Science; Robotics	BV53N	WOS:000179289100352					2020-01-29	
J	Zhang, YF; Iwan, WD				Zhang, YF; Iwan, WD			Active interaction control of civil structures. Part 2: MDOF systems	EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS			English	Article						structural control; semi-active control; seismic response	STIFFNESS	In this paper, the performance of active interaction control (AIC) algorithms is assessed within the context of two realistic building models. The AIC control approach is proposed as a semi-active means of mitigating the structural response during large earthquakes. To implement the AIC control algorithms into MDOF systems, the modal control (MC) approach that directs the control effort to certain dominant response modes is formulated and utilized herein. Two structures, a 3-storey building and a 9-storey steel-framed benchmark building controlled by the AIC algorithms are analysed for two historical earthquake records. The results of numerical simulation verify the efficacy of the AIC control algorithms in controlling vibration of building structures during large earthquakes. Copyright (C) 2001 John Wiley Sons, Ltd.	CALTECH, Dept Civil Engn, Pasadena, CA 91125 USA	Zhang, YF (reprint author), Lehigh Univ, Dept Civil & Environm Engn, 13 E Packer Ave, Bethlehem, PA 18015 USA.						HAYEN JC, 1999, REALISTIC MODEL STUD; HAYEN JC, 1994, P 1 WORLD C STRUCT C; HAYEN JC, 1995, 9503 EERL CALTECH; Iwan W. D., 1996, P 2 INT WORKSH STRUC; IWAN WD, 1998, P 2 WORLD C STRUCT C; KOBORI T, 1993, EARTHQUAKE ENG STRUC, V22, P925, DOI 10.1002/eqe.4290221102; OHTORI Y, 2000, BENCHMARK CONTROL PR; WANG LJ, 1998, IDEALIZED MODEL STUD; WANG LJ, 1997, 9704 EERL CALTECH; YAMADA K, 1995, EARTHQUAKE ENG STRUC, V24, P1085, DOI 10.1002/eqe.4290240804; ZHANG Y, 2001, THESIS CALTECH PASAD	11	16	16	0	6	JOHN WILEY & SONS LTD	W SUSSEX	BAFFINS LANE CHICHESTER, W SUSSEX PO19 1UD, ENGLAND	0098-8847			EARTHQUAKE ENG STRUC	Earthq. Eng. Struct. Dyn.	JAN	2002	31	1					179	194		10.1002/eqe.103			16	Engineering, Civil; Engineering, Geological	Engineering	509WU	WOS:000173173500010					2020-01-29	
J	Penner, RR; Steinmetz, ES				Penner, RR; Steinmetz, ES			Model-based automation of the design of user interfaces to digital control systems	IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS			English	Article						building management systems; cooperative systems; design automation; user interfaces; user modeling		Digital control systems, like those controlling the functions of buildings or industrial processes, pose a number of special problems for good user interface design. The general problems of providing usability, common to all systems, include difficulty in accessing and applying principles of good design. In addition, digital control systems can have multiple users, with multiple roles, and each installation has different configurations of systems, controls, and user interface devices. Providing interactions for the users of building control systems is often achieved by manually implementing each required display. This is an expensive solution, which often produces less than optimal results. We address these problems through the automation of user interface design. Our solution, called DIGBE (Dynamic Interface Generation for Building Environments), separates domain knowledge, interaction design, and presentation heuristics into multiple collaborating models. Each model contains knowledge about a particular aspect of interface design, and uses this knowledge to dynamically create each user interface that is needed to support the users of a control system. DIGBE demonstrates that it is possible to automatically and dynamically create consistent and individualized user interfaces from model-based design knowledge.	Iterat Inc, Minneapolis, MN 55404 USA	Penner, RR (reprint author), Iterat Inc, Minneapolis, MN 55404 USA.	robin@rpenner.com					BYRNE MD, 1994, P CHI 94 C HUM FACT, P232; CASNER SM, 1991, ACM T GRAPHIC, V10, P111, DOI 10.1145/108360.108361; FOLEY J, 1988, P 1988 C HUM FACT CO, P67; GALLITZ W, 1997, ESSENTIAL GUIDE USER; Jacobson I., 1999, UNIFIED SOFTWARE DEV; Landauer T. K., 1995, TROUBLE COMPUTERS; Mandel T., 1997, ELEMENTS USER INTERF; Mayhew D.J, 1999, USABILITY ENG LIFECY; MONAFRED R, 1998, P I MECH ENG B-MANAG, V1212, P501; MYERS BA, 1995, [No title captured], V2, P64, DOI DOI 10.1145/200968.200971; Nielsen J., 1993, USABILITY ENG; PENNER R, 1993, ENG HUMAN COMPUTER I, P317; PENNER R, 1994, P EN SOURC TECHN C A, P375; PENNER R, 1993, SCI HONEYWELLER, P106; PENNER R, 1992, CONSISTENT HONEYWELL; Penner R. R., 2000, Adaptive User Interfaces. Papers from the 20000 AAAI Symposium, P98; PUERTA AR, 1994, PROCEEDINGS OF THE TWELFTH NATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE, VOLS 1 AND 2, P471; ROTH SF, 1990, P C HUM FACT COMP SY, P193; SELIGMANN DD, 1991, COMP GRAPH, V25, P123; SZEKELY P, 1996, COMPUTER AIDED DESIG; SZEKELY P, 1993, [No title captured], P383; TORCELLINI P, 1992, THESIS PURDUE U W LA; VANDERDONCKT J, 1998, INTELLIGENT USER INT, P516; VANDERDONCKT J, 1999, COMPUTER AIDED DESIG, V2; WIECHA C, 1989, T INFORMATION SYSTEM, V8, P204; ZHOU M, 1997, [No title captured], P129; Zhou MX, 1996, IEEE SYMPOSIUM ON INFORMATION VISUALIZATION '96, PROCEEDINGS, P13, DOI 10.1109/INFVIS.1996.559211; ZHOU MX, 1998, P SIGCHI C HUM FACT, P392, DOI DOI 10.1145/274644.274698	28	12	12	0	2	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1083-4427	1558-2426		IEEE T SYST MAN CY A	IEEE Trans. Syst. Man Cybern. Paart A-Syst. Hum.	JAN	2002	32	1					41	49	PII S1083-4427(02)01481-9	10.1109/3468.995528			9	Computer Science, Cybernetics; Computer Science, Theory & Methods	Computer Science	541ZE	WOS:000175016400005					2020-01-29	
B	Mo, ZC			IEEE; IEEE	Mo, ZC			Intelligent buildings and intelligent agents - A human-centered framework for building controls	SICE 2002: PROCEEDINGS OF THE 41ST SICE ANNUAL CONFERENCE, VOLS 1-5			English	Proceedings Paper	41st Annual Conference of the Society-of-Instrument-and-Control-Engineers (SICE 2002)	AUG 05-07, 2002	OSAKA, JAPAN	Soc Instrument & Control Engineers		intelligent buildings; intelligent agents; building controls; personal control; human comfort; energy efficiency; facility management		There has been an increasing interest in applying agent technology to intelligent building controls. Scenarios in current research do not fit commercial buildings, in which both building operators and occupants can participate in operation decisions. Although personal control systems have been available to commercial buildings, individual differences in comfort requirements have not been fully addressed in control strategies. For most commercial buildings, control decisions are still based on generalized human requirements. This paper presents an agent-based control framework that accounts for individual differences and mitigates potential requirement conflicts.	Carnegie Mellon Univ, Ctr Bldg Performance & Diagnost, Pittsburgh, PA 15213 USA	Mo, ZC (reprint author), Carnegie Mellon Univ, Ctr Bldg Performance & Diagnost, 5000 Forbes Ave,410 MMCH, Pittsburgh, PA 15213 USA.	zmo@andrew.cmu.edu					ABDOU OA, 1994, ASHRAE T 2, V100; American Society of Heating Refrigerating and Air-conditioning Engineers (ASHRAE), 1989, 621989 ASHRAE; *ASHRAE, 1980, 551981 ASHRAE; BARNES NM, 1998, COMPUTING CONTRO AUG; BROOKS AR, 1997, P 2 INT C COGN TECHN; CHATTERJEE S, 1998, AUTONOMOUS AGENTS 98; Cho M. C. T., 2000, Facilities, V18, P225, DOI 10.1108/02632770010328072; Davidsson P, 2000, FOURTH INTERNATIONAL CONFERENCE ON MULTIAGENT SYSTEMS, PROCEEDINGS, P377, DOI 10.1109/ICMAS.2000.858483; Drewer S., 1994, Facilities, V12, P19, DOI 10.1108/02632779410795387; FINLEY MR, 1991, IEEE COMMUNICATI APR, P18; HUBERMAN AB, 1995, P 1 INT S MULT SYST; Lesser V, 2000, ARTIF INTELL, V118, P197, DOI 10.1016/S0004-3702(00)00005-9; Lomonaco C, 1997, ASHRAE J, V39, P50; MAWSON A, 1994, FACILITIES, V12; Mizoguchi F, 1999, ARTIF INTELL, V114, P57, DOI 10.1016/S0004-3702(99)00068-5; MOZER CM, 1998, P 1998 AAAI SPRING S, P110; ROBERTSON G, 1988, C HLTH BUILD STOCKH, P507; Sharples S., 1999, Sensor Review, V19, P135, DOI 10.1108/02602289910266278; WOODS EJ, OCCUPATIONAL MED STA, V4	19	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-7631-5				2002							3151	3156					6	Automation & Control Systems; Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Instruments & Instrumentation; Remote Sensing	Automation & Control Systems; Computer Science; Engineering; Instruments & Instrumentation; Remote Sensing	BW59N	WOS:000182534000683					2020-01-29	
S	Satagopan, VR; Rao, VS; Mitchell, K; Pottinger, H		Varadan, VK		Satagopan, VR; Rao, VS; Mitchell, K; Pottinger, H			Self-configurable digital controllers for smart structural systems using FPGAs	SMART STRUCTURES AND MATERIALS 2002: SMART ELECTRONICS, MEMS, AND NANOTECHNOLOGY	PROCEEDINGS OF THE SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS (SPIE)		English	Proceedings Paper	Smart Structures and Materials 2002 Conference	MAR 18-21, 2002	SAN DIEGO, CA	SPIE, Amer Soc Mech Engineers, Soc Exptl Mech, Boeing Co, Rhombus Consultants Grp, CSA Engn, ISIS Canada, USAF Off Sci Res, Def Adv Res Projects Agcy, Intelligent Mat Forum, USA Res OFf, Jet Propuls Lab, Natl Sci Fdn, Ceram Soc Japan, USN Off Naval Res, Nav Res Lab		smart controller; self-configurable system; re-configurable; distributed arithmetic; FPGA	PROGRAMMABLE GATE ARRAYS; IMPLEMENTATION	Smart structural systems require control systems, which are integrated into structures, to be small, light weight and power-efficient. Re-configurable digital signal processing using Field Programmable Gate Arrays (FPGAs) is now preferred over Digital Signal Processors (DSPs) and Application Specific Integrated Circuits (ASICs) for high performance applications. The FPGAs, due to their re-programmable and dynamic nature, are more suitable in developing hardware implementations because several configurations can be tested and experimented easily without any additional hardware cost. Being small, lightweight and power-efficient, FPGAs are one of the best platforms for building controllers for smart structures. Distributed Arithmetic is a widely used technique for hardware efficient implementations of inner product between a fixed and a variable data vectors. The computational requirements of smart structural controller match this type very well. The objective of the research is to design easily configurable stand-alone smart controller, which could be used for real-time control applications. Self-configurable controllers are implemented and tested on a cantilevered beam.	Univ Missouri, Dept Elect & Comp Engn, Intelligent Syst Ctr, Rolla, MO 65401 USA	Satagopan, VR (reprint author), Univ Missouri, Dept Elect & Comp Engn, Intelligent Syst Ctr, Rolla, MO 65401 USA.						Kelly JS, 1997, P SOC PHOTO-OPT INS, V3046, P298, DOI 10.1117/12.276620; Tessier R, 2001, J VLSI SIG PROC SYST, V28, P7, DOI 10.1023/A:1008155020711; White S. A., 1989, IEEE ASSP Magazine, V6, P4, DOI 10.1109/53.29648; *XIL INC, 1999, VIRT AN DIG CONV VER; *XIL INC, 1999, VIRT SYNTH DELT SIGM; Yuan LF, 1999, P SOC PHOTO-OPT INS, V3673, P249, DOI 10.1117/12.354276	6	0	0	0	0	SPIE-INT SOC OPTICAL ENGINEERING	BELLINGHAM	1000 20TH ST, PO BOX 10, BELLINGHAM, WA 98227-0010 USA	0277-786X		0-8194-4448-0	P SOC PHOTO-OPT INS			2002	4700						246	257		10.1117/12.475036			12	Engineering, Electrical & Electronic; Optics; Physics, Applied	Engineering; Optics; Physics	BV10F	WOS:000177817800025					2020-01-29	
J	Kohl, R				Kohl, R			Commissioning HVAC controls systems	ASHRAE JOURNAL			English	Article								Next in importance to selecting a competent engineer to design and inspect an HVAC project, every sizeable HVAC project should have its controls commissioned by a registered Control Systems Engineer (if possible) or at least a professional engineer with demonstrated HVAC controls experience. The process of controls commissioning is of primary importance to a properly operating building.	ALC Controls, Atlanta, GA USA; Air Anal, Atlanta, GA USA	Kohl, R (reprint author), ALC Controls, Atlanta, GA USA.							0	2	2	0	0	AMER SOC HEATING REFRIGERATING AIR-CONDITIONING ENG, INC,	ATLANTA	1791 TULLIE CIRCLE NE, ATLANTA, GA 30329 USA	0001-2491			ASHRAE J	ASHRAE J.	DEC	2001	43	12					27	30					4	Thermodynamics; Construction & Building Technology; Engineering, Mechanical	Thermodynamics; Construction & Building Technology; Engineering	500YH	WOS:000172655900015					2020-01-29	
J	Piette, MA; Kinney, SK; Haves, P				Piette, MA; Kinney, SK; Haves, P			Analysis of an information monitoring and diagnostic system to improve building operations	ENERGY AND BUILDINGS			English	Article						IMDS; building control system; building operation		This paper discusses a demonstration of a technology to address the problem that buildings do not perform as well as anticipated during design. We partnered with an innovative building operator to evaluate a prototype information monitoring and diagnostic system (IMDS). The IMDS consists of a set of high-quality sensors, data acquisition software and hardware, and data visualization software including a web-based remote access system, that can be used to identify control problems and equipment faults. The information system allowed the operators to make more effective use of the building control system and freeing up time to take care of other tenant needs. They report observing significant improvements in building comfort, potentially improving tenant health and productivity. The reduction in the labor costs to operate the building is about US$ 20,000 per year, which alone could pay for the information system in about 5 years. A control system retrofit based on findings from the information system is expected to reduce energy use by 20% over the next year, worth over US$ 30,000 per year in energy cost savings. The operators are recommending that similar technology be adopted in other buildings. (C) 2001 Elsevier Science B.V. All rights reserved.	Univ Calif Berkeley, Lawrence Berkeley Lab, Berkeley, CA 94720 USA	Piette, MA (reprint author), Univ Calif Berkeley, Lawrence Berkeley Lab, Berkeley, CA 94720 USA.						BEHRENS D, 1996, COMMERCIAL CUSTOMER; Claridge D. E., 1994, AM COUNCIL ENERGY EF, V5, P73; Fisk WJ, 1997, INDOOR AIR, V7, P158, DOI 10.1111/j.1600-0668.1997.t01-1-00002.x; *HAGL BAILL CONS I, 1998, BUILD COMM SURV ATT, P1; HAVES P, 2000, MODEL BASED PERFORMA, V3; HYVARINEN J, 1996, BUILDING OPTIMISATIO, V25; Piette M. A., 1999, PERFORMANCE ASSESSME; PIETTE MA, 1998, EARLY RESULTS FIELD; Piette MA, 1994, P 2 NAT C BUILD COMM; *PORTL EN CONS INC, 1998, NAT STRAT BUILD COMM; SEBALD AS, 1997, DIAGNOSTICS BUILDING; SHOCKMAN C, 2000, IN PRESS AM COUNCIL, V8	12	70	72	0	14	ELSEVIER SCIENCE SA	LAUSANNE	PO BOX 564, 1001 LAUSANNE, SWITZERLAND	0378-7788			ENERG BUILDINGS	Energy Build.	OCT	2001	33	8					783	791		10.1016/S0378-7788(01)00068-8			9	Construction & Building Technology; Energy & Fuels; Engineering, Civil	Construction & Building Technology; Energy & Fuels; Engineering	471VB	WOS:000170948400003					2020-01-29	
J	Mathews, EH; Botha, CP; Arndt, DC; Malan, AG				Mathews, EH; Botha, CP; Arndt, DC; Malan, AG			HVAC control strategies to enhance comfort and minimise energy usage	ENERGY AND BUILDINGS			English	Article						HVAC system; integrated dynamic simulation; energy retrofit study; energy savings potential	INTEGRATED HVAC; TOOL	Good heating, ventilating and air conditioning (HVAC) control ensures comfort. It is usually also the most cost-effective way to improve energy efficiency of air-conditioned buildings. In this article, the comfort enhancement and energy saving potential with new control strategies are determined for the Human Science Building (HSB) at the University of Pretoria. A new software tool, QUICKcontrol, was used to perform the complex and fully integrated building, HVAC and control simulations. Various control strategies were investigated. These included air-bypass, reset control, setback control, improved start-stop times, economiser control and CO, control. The simulation models were firstly verified against measurements to ensure accurate and realistic retrofit simulations. It was then possible to ensure comfort and to predict savings of 60% in HVAC power consumption. This resulted in a simple payback period of 9 months. Preparing input data took about 2 days, while setting up the simulation model took another day. The typical run time for the fully integrated building, HVAC system and control simulation took approximately 90 s per day on an Intel(TM) Pentium 133 MHz personal computer. (C) 2001 Elsevier Science B.V. All rights reserved.	Potchefstroom Univ Christian Higher Educ, Ctr Res & Commercialisat, Dept Mech Engn, POB 2156, ZA-0043 Faerie Glen, South Africa	Mathews, EH (reprint author), Potchefstroom Univ Christian Higher Educ, Ctr Res & Commercialisat, Dept Mech Engn, POB 2156, ZA-0043 Faerie Glen, South Africa.	ehmathews@researchtoolbox.com	Liu, Xuesong/E-9177-2010; Malan, Arnaud G./M-4499-2019				ANDERSEN JJ, 1993, P SEM MAIN STEER COM; *ASHRAE, 1981, 551981 ASHRAE ANSI; HIRSCH JJ, 1995, P 4 INT C BUILD SIM; LEBRUN J, 1994, RENEW ENERG, V5, P1151, DOI 10.1016/0960-1481(94)90144-9; LEVINE M, 1995, P WORLD EN COUNC 16; Mathews EH, 1999, BUILD ENVIRON, V34, P451, DOI 10.1016/S0360-1323(98)00039-0; Mathews EH, 1999, BUILD ENVIRON, V34, P429, DOI 10.1016/S0360-1323(98)00038-9; MATHEWS EH, 1996, REFRIGERATION AIR CO, V12, P59; ROUSSEAU PG, 1993, BUILD ENVIRON, V28, P439, DOI 10.1016/0360-1323(93)90021-T; STERLING E, 1994, P ASHRAE T S, P867; *TEMM INT PTY LTD, 1997, 0002 TEMM INT PTY LT; VANHEERDEN E, 1996, P 1996 PLEA BUILD UR; WOODS JE, 1989, OCCUPATIONAL MED STA, V4	13	84	87	2	21	ELSEVIER SCIENCE SA	LAUSANNE	PO BOX 564, 1001 LAUSANNE, SWITZERLAND	0378-7788	1872-6178		ENERG BUILDINGS	Energy Build.	OCT	2001	33	8					853	863		10.1016/S0378-7788(01)00075-5			11	Construction & Building Technology; Energy & Fuels; Engineering, Civil	Construction & Building Technology; Energy & Fuels; Engineering	471VB	WOS:000170948400011					2020-01-29	
J	Kim, T; Kato, S; Murakami, S				Kim, T; Kato, S; Murakami, S			Indoor cooling/heating load analysis based on coupled simulation of convection, radiation and HVAC control	BUILDING AND ENVIRONMENT			English	Article; Proceedings Paper	7th International Conference on Air Distribution in Rooms (ROOMVENT 2000)	JUL 09-12, 2000	UNIV READING, READING, ENGLAND		UNIV READING	cooling load; CFD; HVAC control; coupled simulation		A computational fluid dynamics (CFD) simulation for analyzing indoor cooling/heating load is presented in this study. It is coupled with a radiative heat transfer simulation and heating, ventilating, and air-conditioning (HVAC) controlling system in a room. This new method feeds back the outputs of the HVAC system control to the input boundary conditions of the CFD, and this method includes a human model to evaluate the thermal environment. It would be used to analyze the heating/cooling loads of different HVAC systems under the condition of the same human thermal sensation (e.g. PMV, operative temperature, etc.) even though the temperature and air-velocity distribution in the room are different from each other. To examine the performance of the new method, a cooling load and a thermal environment within a semi-enclosed space, which opens into an atrium space, is analyzed under the steady-state conditions during the summer season. This method is able to analyze the indoor cooling load with changes of target thermal environments of a room and/or changing clothing conditions of occupants considering the temperature and air-velocity distribution in the room. In this paper, two types of HVAC system are compared; i.e. radiation-panel system and all-air cooling system. The radiation-panel cooling system is found to be more energy efficient for cooling the semi-enclosed space. Changes of the level of thermal environment reduce cooling load effectively in case of the all-air cooling system while the radiation-panel system does not reduce cooling load even though the targeted thermal condition is relaxed. Energy saving effect is expected by easing the clothing conditions of occupants. In this study, the reducing effect of cooling load is quantitatively evaluated with clothing conditions also. (C) 2001 Elsevier Science Ltd. All rights reserved.	Univ Tokyo, Inst Ind Sci, Meguro Ku, Tokyo 153, Japan	Kim, T (reprint author), Univ Tokyo, Inst Ind Sci, Meguro Ku, 4-6-1 Komaba, Tokyo 153, Japan.		Kato, Shinsuke/J-9742-2014; Kim, Taeyeon/G-7753-2012	Kato, Shinsuke/0000-0002-7227-9421; 			Fanger PO, 1970, THERMAL COMFORT; GEBHART B, 1959, ASHRAE T, V65, P321; KIM T, 2000, ROOMVENT 2000; Launder B. E., 1974, Computer Methods in Applied Mechanics and Engineering, V3, P269, DOI 10.1016/0045-7825(74)90029-2; MURAKAMI S, 1999, 6 INT IBPSA C BUILD; OMORI T, 1990, INT J NUMER METH ENG, V30, P615, DOI 10.1002/nme.1620300405	6	22	27	0	13	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0360-1323			BUILD ENVIRON	Build. Environ.	AUG	2001	36	7					901	908		10.1016/S0360-1323(01)00016-6			8	Construction & Building Technology; Engineering, Environmental; Engineering, Civil	Construction & Building Technology; Engineering	446LP	WOS:000169515000013					2020-01-29	
